"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"7:12:18.6390545 PM","openttd.exe","13340","WriteFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar","SUCCESS","Offset: 450,560, Length: 8,192"
"7:12:18.6391460 PM","openttd.exe","13340","WriteFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar","SUCCESS","Offset: 458,752, Length: 8,192"
"7:12:18.6391673 PM","openttd.exe","13340","WriteFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar","SUCCESS","Offset: 466,944, Length: 8,192"
"7:12:18.6392410 PM","openttd.exe","13340","ReadFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar.gz","SUCCESS","Offset: 122,880, Length: 8,192"
"7:12:18.6393103 PM","openttd.exe","13340","WriteFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar","SUCCESS","Offset: 475,136, Length: 8,192"
"7:12:18.6393316 PM","openttd.exe","13340","WriteFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar","SUCCESS","Offset: 483,328, Length: 8,192"
"7:12:18.6394406 PM","openttd.exe","13340","WriteFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar","SUCCESS","Offset: 491,520, Length: 8,192"
"7:12:18.6394644 PM","openttd.exe","13340","WriteFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar","SUCCESS","Offset: 499,712, Length: 8,192"
"7:12:18.6395692 PM","openttd.exe","13340","WriteFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar","SUCCESS","Offset: 507,904, Length: 8,192"
"7:12:18.6395909 PM","openttd.exe","13340","WriteFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar","SUCCESS","Offset: 516,096, Length: 8,192"
"7:12:18.6396258 PM","openttd.exe","13340","ReadFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar.gz","SUCCESS","Offset: 131,072, Length: 8,192"
"7:12:18.6397450 PM","openttd.exe","13340","WriteFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar","SUCCESS","Offset: 524,288, Length: 8,192, Priority: Normal"
"7:12:18.6397952 PM","openttd.exe","13340","WriteFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar","SUCCESS","Offset: 532,480, Length: 8,192"
"7:12:18.6399216 PM","openttd.exe","13340","WriteFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar","SUCCESS","Offset: 540,672, Length: 8,192"
"7:12:18.6399434 PM","openttd.exe","13340","WriteFile","C:\Users\mariush\Documents\OpenTTD\content_download\baseset\Scott_Joplin_Anthology-2.0.0.tar","SUCCESS","Offset: 548,864, Length: 8,192"
