new_map: 00000000
save: 00000000; 00; dmp_cmds_00000000_00000000.sav
load: opntitle.dat
load: opntitle.dat
load: C:\Users\Jon\Documents\OpenTTD\save\Jon, 14th Sep 1963.sav
load: C:\Users\Jon\Documents\OpenTTD\save\Jon, 14th Sep 1963.sav
sync: 000af1ad; 00; 38b066b8; dd248ca5
cmd: 000af1ad; 00; 04; 000000; 00000003; 00000000; 0000005f; "" (CmdCreateGroup)
cmd: 000af1ad; 00; 09; 03cae7; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 02; 06; 000000; 00002710; 00000002; 0000002d; "" (CmdIncreaseLoan)
cmd: 000af1ad; 02; 09; 03cae6; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 04; 06; 000000; 00002710; 00000002; 0000002e; "" (CmdDecreaseLoan)
cmd: 000af1ad; 04; 09; 03cae5; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 06; 09; 03cae4; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 08; 09; 0193a7; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 0a; 09; 0193a6; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 0c; 09; 0193a5; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 0e; 09; 0193a4; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 10; 09; 0193a3; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 12; 09; 0193a2; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 14; 09; 018fa7; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 16; 09; 018fa6; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 18; 09; 018fa5; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 1a; 06; 000000; 00002710; 00000002; 0000002d; "" (CmdIncreaseLoan)
cmd: 000af1ad; 1a; 09; 018fa4; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 1c; 06; 000000; 00002710; 00000002; 0000002e; "" (CmdDecreaseLoan)
cmd: 000af1ad; 1c; 09; 018fa3; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 1e; 09; 018fa2; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 20; 09; 018ba7; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 22; 09; 018ba6; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 24; 09; 018ba5; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 26; 09; 018ba4; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 28; 09; 018ba3; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 2a; 09; 018ba2; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 2c; 09; 0187a7; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 2e; 09; 0187a6; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 30; 09; 0187a5; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
cmd: 000af1ad; 32; 06; 000000; 00002710; 00000002; 0000002d; "" (CmdIncreaseLoan)
cmd: 000af1ad; 32; 09; 0187a4; 00000000; 00000000; 00000004; "" (CmdLandscapeClear)
